央视频道,#genre#
CCTV3,http://60.174.40.117:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://116.231.138.209:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://1.193.176.158:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://58.19.182.187:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://125.123.194.171:9999/rtp/233.50.200.107:5140
CCTV3,http://117.57.50.223:8888/rtp/238.1.78.170:7232
CCTV3,http://219.159.147.195:9901/tsfile/live/1004_1.m3u8?key=txiptv
CCTV3,http://115.231.200.110:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://27.24.21.145:8888/rtp/239.69.1.122:10370
CCTV3,http://183.62.74.202:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://175.163.201.174:60000/rtp/232.0.0.198:9214
CCTV3,http://27.227.183.44:666/rtp/239.255.29.12:8231
CCTV3,http://124.65.3.255:20000/rtp/239.3.1.172:8001
CCTV3,http://61.136.158.216:18888/rtp/239.69.1.122:10370
CCTV3,http://120.6.2.34:4000/rtp/239.253.92.191:6057
CCTV3,http://222.185.245.194:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://58.210.60.226:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://113.12.72.152:9901/tsfile/live/1002_1.m3u8?key=txiptv
CCTV3,http://113.57.103.216:9000/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://124.165.251.82:9999/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://113.57.21.233:8666/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://222.241.154.37:9901/tsfile/live/23003_1.m3u8?key=txiptv
CCTV3,http://36.49.51.153:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://218.89.240.144:59901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://222.89.107.42:9876/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://222.92.7.170:3333/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://36.248.137.69:60033/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://183.184.60.251:8085/rtp/226.0.2.156:9160
CCTV4,http://36.49.53.197:8800/rtp/239.37.1.25:5540
CCTV4,http://183.62.74.202:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://60.208.44.186:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://58.19.182.187:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://124.237.153.135:8888/rtp/239.254.200.190:6307
CCTV4,http://222.185.245.194:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://1.193.176.158:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://116.231.138.209:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://220.182.45.198:20088/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://111.227.71.118:7000/rtp/239.254.200.190:6307
CCTV4,http://106.57.1.85:55555/rtp/239.200.200.128:8652
CCTV4,http://219.159.147.195:9901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV4,http://106.57.0.197:55555/rtp/239.200.200.128:8652
CCTV4,http://202.103.213.178:8888/rtp/239.81.0.96:4056
CCTV4,http://27.24.21.145:8888/rtp/239.69.1.138:10466
CCTV4,http://61.136.158.216:18888/rtp/239.69.1.138:10466
CCTV4,http://117.57.50.225:8888/rtp/238.1.78.236:7760
CCTV4,http://121.19.134.153:808/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://120.6.2.34:4000/rtp/239.253.92.251:6141
CCTV4,http://115.153.77.81:6001/rtp/239.252.220.184:5140
CCTV4,http://222.90.48.71:7777/rtp/239.112.205.202:5140
CCTV4,http://27.10.237.17:8000/rtp/225.0.4.176:7980
CCTV4,http://175.163.201.174:60000/rtp/232.0.0.148:9142
CCTV4,http://222.90.48.77:7777/rtp/239.112.205.202:5140
CCTV4,http://61.53.171.36:18888/rtp/225.1.5.30:1333
CCTV4,http://223.151.49.74:59901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://125.46.132.39:9999/rtp/225.1.5.30:1333
CCTV4,http://124.65.3.255:20000/rtp/239.3.1.214:4220
CCTV4,http://124.65.3.255:20000/rtp/239.3.1.213:4220
CCTV4,http://124.65.3.255:20000/rtp/239.3.1.105:8092
CCTV4,http://222.241.154.37:9901/tsfile/live/23004_1.m3u8?key=txiptv
CCTV4,http://113.12.72.152:9901/tsfile/live/1003_1.m3u8?key=txiptv
CCTV4,http://58.210.60.226:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://113.57.103.216:9000/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://113.57.21.233:8666/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://112.235.200.85:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://222.92.7.170:3333/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://124.165.251.82:9999/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://218.89.240.144:59901/tsfile/live/1001_1.m3u8?key=txiptv
CCTV4,http://36.248.137.69:60033/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://222.89.107.42:9876/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4K,http://121.19.134.153:808/tsfile/live/0001_1.m3u8?key=txiptv
CCTV4欧洲,http://111.227.71.118:7000/rtp/239.254.201.205:4220
CCTV4欧洲,http://27.24.21.145:8888/rtp/239.69.1.231:11028
CCTV4欧洲,http://61.136.158.216:18888/rtp/239.69.1.231:11028
CCTV4欧洲,http://222.90.48.71:7777/rtp/239.111.205.83:5140
CCTV4欧洲,http://175.163.201.174:60000/rtp/232.0.0.210:9238
CCTV4欧洲,http://61.53.171.36:18888/rtp/225.1.5.31:1342
CCTV4欧洲,http://125.46.132.39:9999/rtp/225.1.5.31:1342
CCTV4美洲,http://120.6.2.34:4000/rtp/239.253.93.193:6371
CCTV4美洲,http://222.90.48.71:7777/rtp/239.111.205.84:5140
CCTV4美洲,http://175.163.201.174:60000/rtp/232.0.0.145:9110
CCTV4美洲,http://61.53.171.36:18888/rtp/225.1.5.32:1343
CCTV4美洲,http://125.46.132.39:9999/rtp/225.1.5.32:1343
CCTV5,http://36.49.51.153:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://183.94.1.118:8801/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://113.120.108.229:4000/rtp/239.21.2.46:5002
CCTV5,http://110.80.17.38:9901/tsfile/live/0005_2.m3u8?key=txiptv
CCTV5,http://110.80.17.38:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://182.46.8.252:8686/rtp/239.21.2.46:5002
CCTV5,http://60.174.40.117:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV5,http://60.174.40.117:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://1.193.176.158:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://36.49.53.197:8800/rtp/239.37.0.232:5540
CCTV5,http://171.118.111.66:8085/rtp/226.0.2.209:9584
CCTV5,http://183.62.74.202:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://61.140.124.156:8888/rtp/239.77.0.177:5146
CCTV5,http://58.19.182.187:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://59.42.207.131:8888/rtp/239.77.0.177:5146
CCTV5,http://124.237.153.135:8888/rtp/239.254.200.46:8004
CCTV5,http://222.185.245.194:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://125.125.199.56:8888/rtp/233.50.200.245:5140
CCTV5,http://125.125.199.56:8888/rtp/233.50.201.197:5140
CCTV5,http://125.125.199.56:8888/rtp/233.50.200.108:5140
CCTV5,http://116.231.138.209:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://220.182.45.198:20088/tsfile/live/0005_1.m3u8?key=txiptv
